Symbol,Panel,Comprado,Vigilar
ALUA.BA,Lider,,X
BBAR,Lider,,X
BMA,Lider,X,
BYMA.BA,Lider,,X
CEPU,Lider,X,
COME.BA,Lider,,X
CRESY,Lider,,X
CVH.BA,Lider,,
EDN,Lider,,
GGAL,Lider,,X
HARG.BA,Lider,,X
LOMA,Lider,,X
MIRG.BA,Lider,,X
PAM,Lider,,X
SUPV,Lider,X,
TEO,Lider,X,
TGNO4.BA,Lider,,X
TGS,Lider,,X
TRAN.BA,Lider,,X
TX,Lider,,X
VALO.BA,Lider,X,
YPF,Lider,X,
AGRO.BA,General,,X
AUSO.BA,General,,X
BHIP.BA,General,,X
BOLT.BA,General,,X
BPAT.BA,General,,X
BRIO.BA,General,,
CADO.BA,General,,
CAPX.BA,General,,
CARC.BA,General,,
CECO2.BA,General,,
CELU.BA,General,X,
CGPA2.BA,General,,
CTIO.BA,General,,
DGCU2.BA,General,,
DOME.BA,General,,
DYCA.BA,General,,
EMDE.BA,General,,
FERR.BA,General,,
FIPL.BA,General,,
GAMI.BA,General,,
GARO.BA,General,,
GBAN.BA,General,,
GCLA.BA,General,,
GRIM.BA,General,,
HAVA.BA,General,,
INAG.BA,General,,
INTR.BA,General,,
INVJ.BA,General,X,
IRCP,General,,X
IRS,General,,X
LEDE.BA,General,,
LONG.BA,General,,
METR.BA,General,,
MOLA.BA,General,,X
MOLI.BA,General,,X
MORI.BA,General,,X
MTR.BA,General,,
OEST.BA,General,,
PATA.BA,General,,
PGR.BA,General,X,
POLL.BA,General,,
RIGO.BA,General,,
ROSE.BA,General,,
SAMI.BA,General,X,
SEMI.BA,General,,
TGLT.BA,General,,
MMM,Cedear,,
ABT,Cedear,,
ABBV,Cedear,,X
ADBE,Cedear,,
AMD,Cedear,,X
AEM,Cedear,,
BABA,Cedear,,X
GOOGL,Cedear,,X
MO,Cedear,,
ACH,Cedear,,
AMZN,Cedear,,X
ABEV,Cedear,,X
AMX,Cedear,,
AXP,Cedear,,
AMGN,Cedear,,
ADI,Cedear,,
AAPL,Cedear,,X
ARCO,Cedear,X,
AZN,Cedear,,X
T,Cedear,,X
CAR,Cedear,,
BIDU,Cedear,,
BBD,Cedear,,X
SAN,Cedear,,
BCS,Cedear,,
GOLD,Cedear,,X
BHP,Cedear,,
BIOX,Cedear,,X
BIIB,Cedear,,X
BB,Cedear,,
BA,Cedear,,X
BP,Cedear,,
BRFS,Cedear,X,
BMY,Cedear,,X
AVGO,Cedear,,
CAH,Cedear,,
CAT,Cedear,,X
CX,Cedear,,
CVX,Cedear,,X
CSCO,Cedear,,X
C,Cedear,,
KO,Cedear,,X
CDE,Cedear,,
CL,Cedear,,
SID,Cedear,,X
CAAP,Cedear,,
COST,Cedear,,X
CS,Cedear,,X
DE,Cedear,,X
DESP,Cedear,,X
DEO,Cedear,,
DOCU,Cedear,,
EBAY,Cedear,,
ERJ,Cedear,,X
ETSY,Cedear,,X
XOM,Cedear,,X
FB,Cedear,,
FDX,Cedear,,X
FSLR,Cedear,,
FCX,Cedear,,
GE,Cedear,,X
GPRK,Cedear,,
GGB,Cedear,,
GILD,Cedear,,
GSK,Cedear,,
HAL,Cedear,X,
HMY,Cedear,,X
HL,Cedear,,
HD,Cedear,,
HMC,Cedear,,
HON,Cedear,,
ING,Cedear,,
INTC,Cedear,X,
IBM,Cedear,,X
IP,Cedear,,
ITUB,Cedear,,
JPM,Cedear,,
JD,Cedear,,
JNJ,Cedear,,
KMB,Cedear,,
LYG,Cedear,,
LMT,Cedear,,X
MA,Cedear,,
MCD,Cedear,,X
MELI,Cedear,,X
MRK,Cedear,,X
MSFT,Cedear,,X
NFLX,Cedear,,
NKE,Cedear,,
NVDA,Cedear,,
ORCL,Cedear,,
PCAR,Cedear,,
PYPL,Cedear,,
PEP,Cedear,,
PBR,Cedear,,
PTR,Cedear,,
PFE,Cedear,,
PSX,Cedear,,
PG,Cedear,,
QCOM,Cedear,,X
RIO,Cedear,,
CRM,Cedear,,
SAP,Cedear,,
SLB,Cedear,,
SHOP,Cedear,,
SNAP,Cedear,,
SNOW,Cedear,,
SONY,Cedear,,
SPOT,Cedear,,
SQ,Cedear,,
SBUX,Cedear,,
TSM,Cedear,,X
TSLA,Cedear,,X
GS,Cedear,,
TIMB,Cedear,,
TTE,Cedear,,X
TM,Cedear,,X
TRIP,Cedear,X,
TWTR,Cedear,,
UGP,Cedear,,X
UL,Cedear,,
UNP,Cedear,,
X,Cedear,,X
UNH,Cedear,,X
RTX,Cedear,,
VALE,Cedear,X,
VZ,Cedear,X,
V,Cedear,,X
VIST,Cedear,,X
WBA,Cedear,,
WMT,Cedear,,X
WFC,Cedear,,X
AUY,Cedear,,
ZM,Cedear,X,
